username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Jamie_Sampson;2011-10-27 09:48;0;0;"Would be funny to go to #OccupyOakland and protest people who bring their bikes on BART during rush hour.";Oakland, CA;;#OccupyOakland;"129600428055863296";https://twitter.com/Jamie_Sampson/status/129600428055863296
topix_insight;2011-10-27 08:52;0;0;"From Our Archives: Police Violence Shocks Activists, Others at Port of Oakland Protest - http:// bit.ly/tF4X9P #Oakland #California";Oakland, CA;;#Oakland #California;"129586329385304066";https://twitter.com/topix_insight/status/129586329385304066
misterpepper;2011-10-27 06:17;6;0;"Proud of @AvalosSF , @SupeJaneKim and other supes who stood up for peaceful protest - #Occupysf video from 2 am: http://www. youtube.com/watch?v=Rup1vN 6oZkQ …";Noe Valley, San Francisco;@AvalosSF @SupeJaneKim;#Occupysf;"129547339294707712";https://twitter.com/misterpepper/status/129547339294707712
jameshome;2011-10-27 01:03;2;0;"Inspiring to be on the ground at #OccupySF . Roving brass bands entertain between training sessions on non-violent protest . Very organized.";San Francisco, CA;;#OccupySF;"129468254455472128";https://twitter.com/jameshome/status/129468254455472128
topix_insight;2011-10-27 00:47;0;0;"Live Blog: Library Directory refused to close Oakland library during protest - http:// bit.ly/rwDucc #Martinez #California";Oakland, CA;;#Martinez #California;"129464226476593152";https://twitter.com/topix_insight/status/129464226476593152
topix_insight;2011-10-27 00:32;0;0;"Oakland Mayor Quan 'Very Saddened' By Protest Violence - http:// bit.ly/rCgm77 #DalyCity #California";Original Daly City, Daly City;;#DalyCity #California;"129460367679168512";https://twitter.com/topix_insight/status/129460367679168512
DNas;2011-10-26 23:35;0;0;"“ @bellarosaaa : RT @DNas : I really gotta boo boo... My protest support may be done for 2nite • please stop lol”what I do";Oakland, CA;@bellarosaaa @DNas;;"129446033204842497";https://twitter.com/DNas/status/129446033204842497
DNas;2011-10-26 23:32;0;0;"I really gotta boo boo... My protest support may be done for 2nite";Oakland, CA;;;"129445380344643584";https://twitter.com/DNas/status/129445380344643584
IAmAlExtra;2011-10-26 23:07;0;0;"I appreciate organized protest but tell me what r we protesting for ? Free white ppl #OccupyOakland I been #OccupyOakland movement";Oakland, CA;;#OccupyOakland #OccupyOakland;"129438976410005504";https://twitter.com/IAmAlExtra/status/129438976410005504
belikemike;2011-10-26 21:45;0;0;"@Steve_in_NYC sorry no. Protest is here. Police presence still hidden.";Oakland, CA;@Steve_in_NYC;;"129418442603376640";https://twitter.com/belikemike/status/129418442603376640
JoshMontero;2011-10-26 19:02;0;0;"@amoreenalucero It fired me up something awful. Damn near got off the train post-work to go protest myself.";San Ramon, CA;@amoreenalucero;;"129377365573894145";https://twitter.com/JoshMontero/status/129377365573894145
michaelbriggs90;2011-10-26 18:29;0;0;"#OccupyVagina .. Looking for somewhere to protest";Downtown, San Francisco;;#OccupyVagina;"129369187465433089";https://twitter.com/michaelbriggs90/status/129369187465433089
LASHChevalier;2011-10-26 17:43;0;0;"Yemen women burning veils in protest Everyone seems to want equity. http://www. nationalpost.com/m/wp/news/blog .html?b=news.nationalpost.com/2011/10/26/yemen-women-burn-veils-to-protest-violence-by-government-supporters …";Alameda, CA;;;"129357448803909632";https://twitter.com/LASHChevalier/status/129357448803909632
tchae;2011-10-26 11:34;0;0;""Forced circumcision is a violation of ethics and moral rights." People just don't ever run out of stuff to protest , do they?";SoMa, San Francisco;;;"129264575437733888";https://twitter.com/tchae/status/129264575437733888
sdsshoe_23;2011-10-26 09:42;0;0;"#protest #fightthepower #OccupyOakland Oakland pd =LEGAL THUGS";Downtown, San Francisco;;#protest #fightthepower #OccupyOakland;"129236416935895041";https://twitter.com/sdsshoe_23/status/129236416935895041
XaiaX;2011-10-26 07:33;0;0;"@pdxwy 2. The people in wheelchairs aren't fucking props, they're people, and they came to protest . They weren't "asking for it".";Portola, San Francisco;@pdxwy;;"129204000414380033";https://twitter.com/XaiaX/status/129204000414380033
MarinBUZZ;2011-10-26 01:47;0;0;"MarinBUZZ @occupyoakland @OccupyMarin @OccupySF love to see the marin county sheriff down here violating protest ... http:// bit.ly/sdbfXM";Oakland, CA;@occupyoakland @OccupyMarin @OccupySF;;"129117031919398912";https://twitter.com/MarinBUZZ/status/129117031919398912
JamesEwen;2011-10-26 01:04;0;0;"Tomorrow I will post what I have seen #OccupySF I so wish I could stay and protest with them. I admire them and there stand.";The Embarcadero, San Francisco;;#OccupySF;"129106141786542080";https://twitter.com/JamesEwen/status/129106141786542080
kareninSF;2011-10-26 00:29;0;0;"of course! “ @californiabeat : PROTEST UPDATE: No reports of vandalism or damage to Downtown Oakland businesses from #OccupyOakland protests.”";Lower Haight, San Francisco;@californiabeat;#OccupyOakland;"129097236788428800";https://twitter.com/kareninSF/status/129097236788428800
tigerbeat;2011-10-26 00:02;0;0;"Police Fire Tear Gas at Protest in Oakland by @mwollan @SarahMaslinNir @nytimes http:// thelede.blogs.nytimes.com/2011/10/26/pol ice-said-to-fire-tear-gas-at-protesters-in-oakland-calif/ … cc @spodgod @billwolff #occcupyoakland";Bernal Heights, San Francisco;@mwollan @SarahMaslinNir @nytimes @spodgod @billwolff;#occcupyoakland;"129090623524446208";https://twitter.com/tigerbeat/status/129090623524446208
94111;2011-10-26 00:01;0;0;"San Francisco supervisor wants Occupy SF protest protected http:// bit.ly/uKgPpI via http:// outside.in/94111";The Embarcadero, San Francisco;;;"129090191897001984";https://twitter.com/94111/status/129090191897001984
94105;2011-10-26 00:01;0;0;"San Francisco supervisor wants Occupy SF protest protected http:// bit.ly/rUjZJT via http:// outside.in/94105";South Beach, San Francisco;;;"129090187895635968";https://twitter.com/94105/status/129090187895635968
LASHChevalier;2011-10-25 22:46;0;0;"@occupyoakland if you protest in shifts, and or multiple locations, the police will have difficulty maintaining presence";Alameda, CA;@occupyoakland;;"129071436697575424";https://twitter.com/LASHChevalier/status/129071436697575424
