username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
samdownie;2011-08-09 00:54;0;0;"At Bristol Bus station getting a coach to London for meetings and no #LondonRiots (@Bristol Bus Station) http://4sq.com/nP2AP1";;@Bristol;#LondonRiots;"100837386363224064";https://twitter.com/samdownie/status/100837386363224064
thelaleemoo;2011-08-09 00:49;0;0;"I'm at Boston Tea Party (75 Park Street, Bristol ) http://4sq.com/mVUlm0";;;;"100836105083031552";https://twitter.com/thelaleemoo/status/100836105083031552
rhyscoghlan;2011-08-09 00:44;0;0;"Why are people in bristol even rioting? Stupid fuckers.";South Gloucestershire, England;;;"100834924021547008";https://twitter.com/rhyscoghlan/status/100834924021547008
Packer991;2011-08-09 00:35;0;0;"I'm shocked at the amount of chavs on my Facebook, who actually enjoyed taking part in what happened last night in Bristol";City of Bristol, England;;;"100832576683520000";https://twitter.com/Packer991/status/100832576683520000
Packer991;2011-08-09 00:33;0;0;"Let's see what mess Bristol is in today!";City of Bristol, England;;;"100832125363822592";https://twitter.com/Packer991/status/100832125363822592
realrobyeeles;2011-08-09 00:30;0;0;"I love #Bristol and these scum want to trash it #disappointed";South Gloucestershire, England;;#Bristol #disappointed;"100831183885176832";https://twitter.com/realrobyeeles/status/100831183885176832
VouchAR_Bristol;2011-08-09 00:23;0;0;"Full VOSA-Approved MOT With Exterior Wash and Interior Vacuum Plus Collection and Delivery for £29... http://vchr.me/1sl #Bristol";City of Bristol, England;;#Bristol;"100829441449660416";https://twitter.com/VouchAR_Bristol/status/100829441449660416
Mr_Lingo;2011-08-09 00:13;0;0;"Hope all my LDN people get in safely before dark tonight. Think it's gonna be worse bit hope I'm wrong #londonriots Bristol fix up! #fb";City of Bristol, England;;#londonriots #fb;"100827030559522816";https://twitter.com/Mr_Lingo/status/100827030559522816
AamirWani;2011-08-09 00:03;0;0;"So thae chavs in St Paul weren't busy on their ps3 but were busy planning. Now the riots have reached were they normally start from #bristol";City of Bristol, England;;#bristol;"100824539256205313";https://twitter.com/AamirWani/status/100824539256205313
DavidALaw;2011-08-08 23:57;0;0;"@Brendannash just landed back from Mexico into Bristol . Won't be home till this evening. Can't believe what's going on. The place is a mess";North Somerset, England;@Brendannash;;"100822932724518912";https://twitter.com/DavidALaw/status/100822932724518912
GemaAppleheadJ;2011-08-08 23:54;0;0;"So #Bristol #riots started last night, #scum wondering how I'm gonna survive the day on less that 2hrs sleep?";City of Bristol, England;;#Bristol #riots #scum;"100822183969959936";https://twitter.com/GemaAppleheadJ/status/100822183969959936
grahamspiller;2011-08-08 23:30;0;0;"Copycat thugs of #Bristol : This isn’t your riot. Smashing up people’s property and livelihoods does not solve things in Tottenham, or here.";City of Bristol, England;;#Bristol;"100816238653091840";https://twitter.com/grahamspiller/status/100816238653091840
JulietDJ;2011-08-08 22:55;0;0;"BBC Bristol says lots of unrest, cars burnt etc in #stpauls last night. Obviously I saw lots of riot police, vans, helicopter etc";City of Bristol, England;;#stpauls;"100807470301188096";https://twitter.com/JulietDJ/status/100807470301188096
VixenSnow86;2011-08-08 22:44;0;0;"Spread to Bristol ... Great :/";City of Bristol, England;;;"100804720058306561";https://twitter.com/VixenSnow86/status/100804720058306561
dunos;2011-08-08 22:41;0;0;"My prediction that Bristol would join in with the rioting came true.";City of Bristol, England;;;"100803820954722306";https://twitter.com/dunos/status/100803820954722306
JulietDJ;2011-08-08 22:21;0;0;"Sky news says "serious disturbances also seen in parts of Bristol "";City of Bristol, England;;;"100798851371368448";https://twitter.com/JulietDJ/status/100798851371368448
VixenSnow86;2011-08-08 21:00;0;0;"Well apparently it's started here in Bristol now, which the new would show what is happening here";City of Bristol, England;;;"100778430043394048";https://twitter.com/VixenSnow86/status/100778430043394048
DealProbe;2011-08-08 20:41;0;0;"Up to 60% Off Food and Drink at Zazu’s Kitchen in Bristol http://bit.ly/ok2Q3Z via @dealprobe";City of Bristol, England;@dealprobe;;"100773570011078656";https://twitter.com/DealProbe/status/100773570011078656
DealProbe;2011-08-08 20:30;0;0;"Up to 70% Off One or Three Sessions of Naturopath Massage With Consultation in Bristol http://bit.ly/mQVDvI via @dealprobe";City of Bristol, England;@dealprobe;;"100770788227039233";https://twitter.com/DealProbe/status/100770788227039233
AamirWani;2011-08-08 19:56;0;0;"Is everything ok in #bristol . A police helicopter has flying round in bristol from hours now. Do I need to go to work? #LondonRiots";City of Bristol, England;;#bristol #LondonRiots;"100762301329715201";https://twitter.com/AamirWani/status/100762301329715201
DealProbe;2011-08-08 19:30;0;0;"Up to 57% Off Two Course Meal With Wine For Two, Four or Six in Bristol http://bit.ly/pG5G5b via @dealprobe";City of Bristol, England;@dealprobe;;"100755690859151360";https://twitter.com/DealProbe/status/100755690859151360
amberanima;2011-08-08 19:22;0;0;"Chopper Now heading back to #stpauls #Bristol #ukriots http:// twitpic.com/6381ny";City of Bristol, England;;#stpauls #Bristol #ukriots;"100753710338154496";https://twitter.com/amberanima/status/100753710338154496
BeckyLee91;2011-08-08 18:41;0;0;"Too scared to go to sleep incase something major happens in Bristol . #bristolriots";City of Bristol, England;;#bristolriots;"100743587611951104";https://twitter.com/BeckyLee91/status/100743587611951104
mityblues;2011-08-08 18:38;0;0;"@AndyDykes @dessy1969 fucks sake. Really?? I just passed Bristol and can see smoke. And the 32 is closed.";South Gloucestershire, England;@AndyDykes @dessy1969;;"100742634020155392";https://twitter.com/mityblues/status/100742634020155392
Harrtron;2011-08-08 18:33;2;0;"@Pretty_Pirate said on the news that the police are winning in Bristol ! The only city they are winning! #disgrace #riots so far no looting";South Gloucestershire, England;@Pretty_Pirate;#disgrace #riots;"100741378979536897";https://twitter.com/Harrtron/status/100741378979536897
Packer991;2011-08-08 18:32;0;0;"Going to sleep now. Hopefully I'll wake up and I'll still have Bristol in one piece !!";South Gloucestershire, England;;;"100741114457370624";https://twitter.com/Packer991/status/100741114457370624
Harrtron;2011-08-08 18:28;0;0;"Just went to Bristol on Sky news, glad to say the Police Officer has announced that they are beating the rioters! #getin";South Gloucestershire, England;;#getin;"100740151285780480";https://twitter.com/Harrtron/status/100740151285780480
Harrtron;2011-08-08 18:16;0;0;"Apparently 150 rioters causing mayhem in Bristol City Centre. #skynews";South Gloucestershire, England;;#skynews;"100737134410989568";https://twitter.com/Harrtron/status/100737134410989568
Harrtron;2011-08-08 18:11;0;0;"How can riots be starting in Bristol anyway, please to God tell me the police aren't that stupid... :/ They have to get control..";South Gloucestershire, England;;;"100735879345225729";https://twitter.com/Harrtron/status/100735879345225729
Harrtron;2011-08-08 18:02;0;0;"The news just said it, Riots now in Bristol officially. #ffs";South Gloucestershire, England;;#ffs;"100733631366037504";https://twitter.com/Harrtron/status/100733631366037504
Mister_Ahmed;2011-08-08 17:58;0;0;"@babitabbc attempt to loot Bristol shopping precinct by approx 50 youths halted by Police.";City of Bristol, England;@babitabbc;;"100732663517810688";https://twitter.com/Mister_Ahmed/status/100732663517810688
RhiDudzik;2011-08-08 17:50;0;0;"I like that police in bristol have come prepared with dogs! Over beget its begun hopefully!";Bath and North East Somerset, England;;;"100730718958784512";https://twitter.com/RhiDudzik/status/100730718958784512
_notlucas;2011-08-08 17:50;0;0;"@georgialouisece will do! where abouts in bristol are you?";South Gloucestershire, England;@georgialouisece;;"100730686784290816";https://twitter.com/_notlucas/status/100730686784290816
ReactorJim;2011-08-08 17:50;0;0;"“ @ebbysantos : To all who are looking forward to a riot in Bristol , you're pathetic.” fucking right, dick head the lot of them";South Gloucestershire, England;@ebbysantos;;"100730517346979841";https://twitter.com/ReactorJim/status/100730517346979841
_notlucas;2011-08-08 17:42;0;0;"@georgialouisece are there riots in bristol ?";South Gloucestershire, England;@georgialouisece;;"100728740706918400";https://twitter.com/_notlucas/status/100728740706918400
sonic_show;2011-08-08 17:40;0;0;"I hear gossip the riots have spread to Bristol . Does anyone know any truth in this?";South Gloucestershire, England;;;"100728166800310275";https://twitter.com/sonic_show/status/100728166800310275
JulietDJ;2011-08-08 17:31;0;0;"Blurry view of the police going by #Bristol http://lockerz.com/s/127903045";City of Bristol, England;;#Bristol;"100725980607418368";https://twitter.com/JulietDJ/status/100725980607418368
JulietDJ;2011-08-08 17:30;3;0;"Who needs sky news when there's riot police pushing forward in a line outside the window #Bristol #stpauls";City of Bristol, England;;#Bristol #stpauls;"100725545951703040";https://twitter.com/JulietDJ/status/100725545951703040
Laura_Will_;2011-08-08 17:28;0;0;"Rumour mill confirms rioting in Bristol , oh dear.";City of Bristol, England;;;"100724990932037632";https://twitter.com/Laura_Will_/status/100724990932037632
davidshawblog;2011-08-08 17:23;2;0;"#bristol rioters heading for Cabot circus! http:// yfrog.com/h4ksldtj #bristolriots";South Gloucestershire, England;;#bristol #bristolriots;"100723927944400896";https://twitter.com/davidshawblog/status/100723927944400896
Mr_Lingo;2011-08-08 17:06;0;0;"@juniorpepaseed @funkshone looks like you can add Bristol (again) to that";City of Bristol, England;@juniorpepaseed @funkshone;;"100719454761140224";https://twitter.com/Mr_Lingo/status/100719454761140224
Packer991;2011-08-08 17:04;0;0;"Bristol seems to be following the crowd. #pathetic";City of Bristol, England;;#pathetic;"100719171066789888";https://twitter.com/Packer991/status/100719171066789888
davidshawblog;2011-08-08 17:03;5;0;"#bristol rioters heading for Cabot circus! http:// yfrog.com/h4ksldtj";South Gloucestershire, England;;#bristol;"100718893735227392";https://twitter.com/davidshawblog/status/100718893735227392
Jesssduds;2011-08-08 17:01;1;0;"Omg they're in Bristol";South Gloucestershire, England;;;"100718351290089472";https://twitter.com/Jesssduds/status/100718351290089472
