username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
jaspershandle;2011-09-28 13:19;0;0;"Go to Federal Hall memorial for architecture assignment; get caught in middle of Occupy Wall Street #columbiaproblems #occupywallstreet";;;#columbiaproblems #occupywallstreet;"119144154570825728";https://twitter.com/jaspershandle/status/119144154570825728
DeeBrownMan;2011-09-28 11:31;0;0;"I'm at Broadway and Liberty Wall Street Protest w/ 2 others [pic]: http:// 4sq.com/qI7SqS";;;;"119116996142043136";https://twitter.com/DeeBrownMan/status/119116996142043136
bretshuford;2011-09-28 10:16;0;0;"You can occupy wall street or you can take your future in your own hands. Performinsideout.com #marketamerica #shop .com";;;#marketamerica #shop;"119098058318422016";https://twitter.com/bretshuford/status/119098058318422016
DeeBrownMan;2011-09-28 09:19;0;0;"I'm at Broadway and Liberty Wall Street Protest w/ 2 others [pic]: http:// 4sq.com/qBdLDo";;;;"119083838612836352";https://twitter.com/DeeBrownMan/status/119083838612836352
wysk01;2011-09-28 05:27;0;0;"Video: Raw Video: Purported Protest in Yemen Capital http:// bit.ly/mUA6WG";;;;"119025498088148992";https://twitter.com/wysk01/status/119025498088148992
10038;2011-09-27 23:54;0;0;"Bay Ridge Journal: New York Times Mocks Wall Street Protest http:// bit.ly/o2wuIW via http:// outside.in/10038";;;;"118941524053598208";https://twitter.com/10038/status/118941524053598208
11209;2011-09-27 23:54;0;0;"Bay Ridge Journal: New York Times Mocks Wall Street Protest http:// bit.ly/oUlG2L via http:// outside.in/11209";;;;"118941519746043904";https://twitter.com/11209/status/118941519746043904
11433;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/qzcyxR via http:// outside.in/11433";;;;"118896058066681856";https://twitter.com/11433/status/118896058066681856
11433;2011-09-27 20:53;0;0;"The New York Observer: Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Ba http:// bit.ly/qzcyxR via http:// outside.in/11433";;;;"118896057705971714";https://twitter.com/11433/status/118896057705971714
11217;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/qd3RFH via http:// outside.in/11217";;;;"118896054858039296";https://twitter.com/11217/status/118896054858039296
10038;2011-09-27 20:53;0;0;"The New York Observer: Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Ba http:// bit.ly/pc5Jhg via http:// outside.in/10038";;;;"118896036923179008";https://twitter.com/10038/status/118896036923179008
10038;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/pc5Jhg via http:// outside.in/10038";;;;"118896036914790400";https://twitter.com/10038/status/118896036914790400
10027;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/q6kgAJ via http:// outside.in/10027";;;;"118896032036814848";https://twitter.com/10027/status/118896032036814848
10027;2011-09-27 20:53;0;0;"Cornel West at Wall St. protest http:// bit.ly/oBioAR via http:// outside.in/10027";;;;"118896025330135041";https://twitter.com/10027/status/118896025330135041
10012;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/oKuFvo via http:// outside.in/10012";;;;"118896020938702848";https://twitter.com/10012/status/118896020938702848
07305;2011-09-27 20:53;0;0;"Beating the Street: Is ‘ Occupy Wall Street’ the Battle of the Battery, or the Bonfire o http:// bit.ly/mRaRB5 via http:// outside.in/07305";;;;"118895959202729984";https://twitter.com/07305/status/118895959202729984
Xaviersg;2011-09-27 15:39;0;0;"Here with Gail and a group to meet with SH Nasr (@Occupy Wall Street! w/ 2 others) http:// 4sq.com/rgrH2E";;@Occupy;;"118817156375908352";https://twitter.com/Xaviersg/status/118817156375908352
Yuptwins;2011-09-27 15:18;0;0;"I'm at Occupy Wall Street! (11 Wall Street, New York) [pic]: http:// 4sq.com/no62Yf";;;;"118811864913289216";https://twitter.com/Yuptwins/status/118811864913289216
10038;2011-09-27 13:54;0;0;"Happening Now: Susan Sarandon Talks To Protesters At Occupy Wall Street Site http:// bit.ly/qSn8o9 via http:// outside.in/10038";;;;"118790694310649856";https://twitter.com/10038/status/118790694310649856
10038;2011-09-27 12:56;0;0;"Inside The Experience Of A Jailed Journalist During Occupy Wall Street http:// bit.ly/oOTMDy via http:// outside.in/10038";;;;"118776049369755648";https://twitter.com/10038/status/118776049369755648
jsf;2011-09-27 11:48;0;0;"Organic fruit stand in the middle of Occupy Wall Street is not doing much business.";;;;"118758980377001984";https://twitter.com/jsf/status/118758980377001984
10038;2011-09-27 10:31;0;0;"Hacker Group ‘Anonymous’ Releases Officer’s Name In Wall Street Protest Pepper-Spray http:// bit.ly/mThFkr via http:// outside.in/10038";;;;"118739634053332992";https://twitter.com/10038/status/118739634053332992
10027;2011-09-27 10:31;0;0;"Hacker Group ‘Anonymous’ Releases Officer’s Name In Wall Street Protest Pepper-Spray http:// bit.ly/ndj0yK via http:// outside.in/10027";;;;"118739619553619968";https://twitter.com/10027/status/118739619553619968
07305;2011-09-27 10:31;0;0;"Hacker Group ‘Anonymous’ Releases Officer’s Name In Wall Street Protest Pepper-Spray http:// bit.ly/pCse2H via http:// outside.in/07305";;;;"118739542365847553";https://twitter.com/07305/status/118739542365847553
ModernBachelor;2011-09-27 10:25;0;0;"I'm all for free speech and the right to protest , but don't takeover my "people watching" spot! (@Zuccotti Park) http:// 4sq.com/nZHVro";;@Zuccotti;;"118737947804696576";https://twitter.com/ModernBachelor/status/118737947804696576
riordan;2011-09-27 09:47;0;0;"How would one go about building a giant inflatable union protest rat costume for Halloween?";;;;"118728399916253186";https://twitter.com/riordan/status/118728399916253186
